date,count
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,2
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,4
2020-04-03,5
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,6
2020-04-11,6
2020-04-12,6
2020-04-13,9
2020-04-14,9
2020-04-15,9
2020-04-16,9
2020-04-17,12
2020-04-18,13
2020-04-19,13
2020-04-20,15
2020-04-21,20
2020-04-22,27
2020-04-23,29
2020-04-24,40
2020-04-25,46
2020-04-26,54
2020-04-27,55
2020-04-28,58
2020-04-29,61
2020-04-30,72
2020-05-01,101
2020-05-02,106
2020-05-03,106
